4;7;62.0E0;2010-06-17;2010-06-28; ;
5;8;96.0E0;2010-05-01;2010-05-25; ;
6;1;215.0E0;2010-05-14;2010-05-28; ;
9;9;7.92E0;2010-07-05;2010-07-05; ;
10;10;19.09E0;2010-07-06;2010-07-06; ;
11;11;32.19E0;2010-06-23;2010-06-23; ;
12;10;14.34E0;2010-06-17;2010-06-17; ;
13;12;13.3E0;2010-06-14;2010-06-14; ;
14;13;465.0E0;2010-05-31;2010-05-31; ;
15;14;6.65E0;2010-06-14;2010-06-14; ;
16;12;18.0E0;2010-06-08;2010-06-08; ;
17;15;9.5E0;2010-05-29;2010-05-29; ;
18;16;19.0E0;2010-06-24;2010-06-24; ;
19;17;7.6E0;2010-05-29;2010-05-29; ;
20;18;20.0E0;2010-05-18;2010-05-18; ;
21;19;35.0E0;2010-05-29;2010-05-29; ;
22;10;10.14E0;2010-05-27;2010-05-27; ;
23;9;48.9E0;2010-05-26;2010-05-26; ;
24;20;4.88E0;2010-05-26;2010-05-26; ;
25;19;8.1E0;2010-05-21;2010-05-21; ;
26;22;20.0E0;2010-05-14;2010-05-14; ;
27;14;25.43E0;2010-05-17;2010-05-17; ;
28;23;4.0E0;2010-05-17;2010-05-17; ;
29;10;7.96E0;2010-05-11;2010-05-11; ;
30;24;8.0E0;2010-05-09;2010-05-09; ;
31;25;6.3E0;2010-05-10;2010-05-10; ;
32;26;25.9E0;2010-05-06;2010-05-06; ;
33;27;8.7E0;2010-05-05;2010-05-05; ;
34;14;38.48E0;2010-05-05;2010-05-05; ;
35;22;20.0E0;2010-05-04;2010-05-04; ;
36;24;20.0E0;2010-05-01;2010-05-01; ;
37;28;5.83E0;2010-05-04;2010-05-04; ;
38;11;13.83E0;2010-05-04;2010-05-04; ;
39;29;22.8E0;2010-05-04;2010-05-04; ;
40;30;8.0E0;2010-05-03;2010-05-03; ;
41;28;5.76E0;2010-04-07;2010-04-07; ;
42;22;20.0E0;2010-04-27;2010-04-27; ;
43;11;6.84E0;2010-04-21;2010-04-21; ;
44;31;20.0E0;2010-04-20;2010-04-20; ;
45;20;13.1E0;2010-04-20;2010-04-20; ;
46;14;19.01E0;2010-04-17;2010-04-17; ;
47;22;20.0E0;2010-04-16;2010-04-16; ;
48;18;11.0E0;2010-04-17;2010-04-17; ;
49;32;300.0E0;2010-04-16;2010-04-16; ;
50;33;7.6E0;2010-03-28;2010-03-28; ;
51;34;32.88E0;2010-03-22;2010-03-22; ;
52;9;76.2E0;2010-07-08;2010-07-08; ;
53;20;0.99E0;2010-07-08;2010-07-08; ;
54;22;21.0E0;2010-04-09;2010-04-09; ;
55;22;20.0E0;2010-03-31;2010-03-31; ;
56;14;12.64E0;2010-03-27;2010-03-27; ;
57;22;18.0E0;2010-03-20;2010-03-20; ;
58;35;11.0E0;2010-03-05;2010-03-05; ;
59;36;12.0E0;2010-03-22;2010-03-22; ;
60;28;7.59E0;2010-03-17;2010-03-17; ;
61;22;20.0E0;2010-03-16;2010-03-16; ;
62;37;2.0E0;2010-03-28;2010-03-28; ;
63;22;20.0E0;2010-03-23;2010-03-23; ;
64;22;20.0E0;2010-03-26;2010-03-26; ;
65;38;7.0E0;2010-02-20;2010-02-20; ;
66;14;33.89E0;2010-03-26;2010-03-26; ;
67;28;4.19E0;2010-03-26;2010-03-26; ;
68;25;3.55E0;2010-03-05;2010-03-05; ;
69;26;62.36E0;2010-01-23;2010-01-23; ;
70;39;3.2E0;2010-01-16;2010-01-16; ;
71;11;4.99E0;2010-01-20;2010-01-20; ;
72;28;13.15E0;2010-02-08;2010-02-08; ;
73;28;3.46E0;2010-01-20;2010-01-20; ;
74;40;170.0E0;2010-01-23;2010-01-23; ;
75;41;3.0E0;2010-01-16;2010-01-16; ;
76;26;237.69E0;2010-01-15;2010-01-15; ;
77;42;21.79E0;2010-01-09;2010-01-09; ;
78;14;46.07E0;2010-01-13;2010-01-13; ;
79;14;29.7E0;2010-01-09;2010-01-09; ;
80;28;5.4E0;2010-01-11;2010-01-11; ;
81;28;4.69E0;2010-01-11;2010-01-11; ;
82;43;40.0E0;2010-01-11;2010-01-11; ;
83;33;6.2E0;2010-01-09;2010-01-09; ;
84;44;9.2E0;2010-01-10;2010-01-10; ;
85;45;6.84E0;2010-01-02;2010-01-02; ;
86;25;2.8E0;2010-01-02;2010-01-02; ;
87;30;8.0E0;2010-01-08;2010-01-08; ;
88;22;60.0E0;2010-03-12;2010-03-12; ;
89;33;6.9E0;2010-03-07;2010-03-07; ;
90;35;9.0E0;2010-03-13;2010-03-13; ;
91;14;20.42E0;2010-03-13;2010-03-13; ;
92;28;6.18E0;2010-03-08;2010-03-08; ;
93;46;35.0E0;2010-03-09;2010-03-09; ;
94;28;6.76E0;2010-03-10;2010-03-10; ;
95;47;57.12E0;2010-02-18;2010-02-18; ;
96;22;20.0E0;2010-02-26;2010-02-26; ;
97;28;6.38E0;2010-03-03;2010-03-03; ;
98;48;5.89E0;2010-03-06;2010-03-06; ;
99;28;10.38E0;2010-03-05;2010-03-05; ;
100;14;28.45E0;2010-03-06;2010-03-06; ;
101;22;20.0E0;2010-03-04;2010-03-04; ;
102;49;11.5E0;2010-03-06;2010-03-06; ;
103;9;33.96E0;2010-03-03;2010-03-03; ;
104;42;14.63E0;2010-03-04;2010-03-04; ;
105;50;15.0E0;2010-07-07;2010-07-07; ;
106;51;4.95E0;2010-03-05;2010-03-05; ;
107;51;33.69E0;2010-01-30;2010-01-30; ;
108;22;30.0E0;2010-02-10;2010-02-10; ;
109;52;20.0E0;2010-01-09;2010-01-09; ;
110;48;24.97E0;2010-02-02;2010-02-02; ;
111;22;25.0E0;2010-02-16;2010-02-16; ;
112;37;5.0E0;2010-02-08;2010-02-08; ;
113;53;84.34E0;2010-02-01;2010-02-01; ;
114;53;85.68E0;2010-02-01;2010-02-01; ;
115;54;66.81E0;2010-02-11;2010-02-11; ;
116;55;50.0E0;2010-01-07;2010-01-07; ;
117;14;3.3E0;2010-02-20;2010-02-20; ;
118;25;2.9E0;2010-02-20;2010-02-20; ;
119;25;2.8E0;2010-02-12;2010-02-12; ;
120;56;4.65E0;2010-02-19;2010-02-19; ;
121;28;2.94E0;2010-02-18;2010-02-18; ;
122;14;20.16E0;2010-02-20;2010-02-20; ;
123;48;78.79E0;2010-02-19;2010-02-19; ;
124;57;450.0E0;2010-02-26;2010-02-26; ;
125;22;25.0E0;2010-06-25;2010-06-25; ;
126;22;20.0E0;2010-06-03;2010-06-03; ;
127;18;19.0E0;2010-07-12;2010-07-12; ;
128;10;12.92E0;2010-07-14;2010-07-14; ;
129;11;11.5E0;2010-07-15;2010-07-15; ;
130;11;6.31E0;2010-06-05;2010-06-05; ;
131;58;7.8E0;2010-07-16;2010-07-16; ;
132;16;6.0E0;2010-07-17;2010-07-17; ;
133;8;32.5E0;2010-07-01;2010-08-05; ;
134;60;15.2E0;2010-07-20;2010-07-20; ;
135;61;84.0E0;2010-07-20;2010-07-20; ;
136;62;22.0E0;2010-07-20;2010-07-20; ;
137;63;3.8E0;2010-07-20;2010-07-20; ;
138;64;27.12E0;2010-07-20;2010-07-20; ;
139;18;25.0E0;2010-07-20;2010-07-20; ;
140;14;16.39E0;2010-07-20;2010-07-20; ;
141;18;20.0E0;2010-07-21;2010-07-21; ;
142;65;5.0E0;2010-07-21;2010-07-21; ;
