460;lidl nicolson;lidlnic;4;
35;houseland-εργαλεια;047622431;6;
52;καλαιτζακη-κουρτινοξυλα;046118740;6;
91;κοτσιφος ιωαννης-καθρεπτες-κρυσταλλα;039826730;6;
97;σεβαστάκη ουρανία και σια ε.ε-σιδηρικά;093544005;6;
119;γιώργος κορναράκης-ραπτομηχανές;027177420;6;
126;cosmos center-κ. σκουτελης & σια ο.ε;998293741;6;
138;plus4u;998299315;6;
140;ikea;099757704;6;
154;thesporshq-skini-ebay;thesporsh;6;
176;κυπριωτάκη ειρήνη-mountain club;047214620;6;
180;qualitystuf-ac-adapter;qualityst;6;
218;μουρτζάκης γεώργιος σιδηρικά;039455439;6;
239;ασμαριακάνης ια & ικ ασμαριανάκης οε-υδραυλικά;998090650;6;
245;ρομπογιαννάκης και σια οε-ανταλλακτικά-υδραυλικά;997529072;6;
246;καλογεράκης-υδραυλικά;καλογερακ;6;
254;φράρος νεκτάριος-κλειδαρας;φραρνεκτα;6;
270;toolsaplenty-ebay-seller;toolsaple;6;
285;hotel plus στειακάκη μαρια & σια ε.ε ξενοδοχειακός εξοπλισμός;998189452;6;
316;κορνάρος tools;103655756;6;
335;α & ν καραντεμοίρη οε;082045757;6;
350;Xett Multimedia Ltd;xettmulti;6;
357;παντελακης εμμανουήλ- ηλιακά volcano;043887847;6;
358;γυπαράκης παντελής-υδραυλικά;019871677;6;
359;μ συγλέτος κ σια οε αξεσουάρ κουζίνας-εργαλεία;099708469;6;
403;target αλέκος παπαδάκης & υιός αε εξοπλισμός ξενοδοχείων;093070692;6;
430;σιγανός-καθρέπτες 62 μαρτύρων;σιγανός;6;
432;silk colour ;094236805;6;
435;finetsa bagnio πολυτίμη δρακάκη;095707629;6;
444;Σαρρής Δημήτρης-ξυλουργός;δημσαρ;6;
445;Θεοδοσάκης Γιώργος-υδραυλικός;θεογ;6;
447;Water purity Κουτάντος Μιχάλης;059288845;6;
467;ikea edimburgh;ikeaedi;6;
12;ξενακης νικολαος;029073976;7;
16;κουμουλας αε βενζιναδικο;999678050;7;
18;wash experts;998090095;7;
22;θεοδωρογιαννακης χαρ. βενζιναδικο;123177456;7;
24;βενζινάδικο μασαούτης;066382473;7;
32;πνευματικάκης ελαστικά;043886501;7;
34;motoraid;079173234;7;
38;σκουλας-πλυντηριο-αυτοκινητων;043895245;7;
40;παρασχος ιωαννης-ελαστικα;019542808;7;
62;μαρνελος-μοτο μοτο;038267535;7;
78;κορνηλάκης ιωάνης-αξεσουάρ μηχανών;059492948;7;
79;colori posto-ένδυση μηχανών;054312037;7;
83;διαμαντάκης ευτυχιος-βενζιναδικο;023640743;7;
84;μακρυδακης εμμανουηλ-βενζιναδικο;052328525;7;
107;ερμης αεμεε-βενζινάδικο;094025320;7;
162;πρατηριο-ρωμανια αικατερινη;041302497;7;
166;shell - μυρτέα αε εταιρία εμπορίας καυσίμων;094475066;7;
205;southbound forecourt services westmorland ltd;859709174;7;
207;shell uk ltd;235763255;7;
304;γελασάκης ναυτ. πρακτ. μον. επε-πρατήριο καυσίμων;997570818;7;
322;uk_bulb_co-car-accessories-ebay-seller;uk_bulb;7;
356;νεονάκης ιωαν. αντώνιος πρατήριο;131484689;7;
376;βενζικαδικο εξωτερικού;βενζινεξ;7;
427;στοραίτη φωτεινή βενζινάδικο ιωνίας;044734515;7;
43;παπαδουλακης-slipper;033501622;8;
49;χαρωνιτης-αθλητικα;044807106;8;
61;μαματζακης-ενδυματα;011344453;8;
64;χατζηδακης εσωρουχα;999678835;8;
164;peackocks;999992899;8;
212;west trends ltd tia rawhide, oxford plaza;westrents;8;
249;δορκάς δερμάτινα;082979984;8;
250;super τακούνι γρηγόρης-τσαγκάρης στη στοά;998784019;8;
343;la pupa επε;997856661;8;
348;fc-moto.de;188439057;8;
370;louis.de;louis;8;
371;ομηρόλης παιδικά;081544419;8;
461;primark;primark;8;
42;αφοι βαβουρακη-ηλεκαλ;094273874;9;
54;ηλεκτροσυνεταιρικη-κοκκινακης;099283198;9;
55;αστικη εταιρια ηλεκτρολογων εγκαταστατων;097544205;9;
57;καρβελας ηλεκτρικά;094273991;9;
96;ν. πανταλος-μ.ζαχαρακη ο.ε-ηλεκτρολογικό υλικό;998783453;9;
425;shop on τζεβελεκιδης αε;094514940;9;
13;tigiris travel;045550890;10;
17;afisorama;036746575;11;
19;οπτικά σηφάκης;046765849;12;
41;αλεξακης χαραλαμπος-φωτογραφικα ειδη-ασημικά-ρολόγια;038464868;12;
399;giuwensiyu ebay seller;giuwensi;12;
400;fanteesuk ebay seller;fanteesuk;12;
21;casa donato;099926946;13;
25;savodor-σαβοιδακης;094103295;13;
27;σκουλουδης σνακ μπαρ;044810983;13;
29;οβελιξ μικρογευματα;151269053;13;
33;grand πιτσαρία;998864289;13;
39;ταμιωλακης εμ. & σια ε.ε-εστιατοριο;093424505;13;
44;κοκκινος-εστιατοριο;038911682;13;
58;ντοναλντ-πιτσαρία;082170323;13;
63;everest;998188904;13;
87;creperie haris;998784892;13;
88;εστιατοριο αθηνα;041840750;13;
94;κουτεντακη-βαρδακη-φουρνος;043885934;13;
99;λύρα-ζαχαροπλαστείο-κλάδος;082006640;13;
110;μιχελάκης κων/νος-ζαχαροπλαστείο μελύριτον;044102303;13;
113;γιανναρης-σουβλατζιδικο;110103699;13;
143;κολομβου μονοπροσωπη επε-αναψυκτηριο;099378473;13;
146;αικατερινη νικα-καφενειο;035259740;13;
147;ισηγονης γεωργιος καφε εστιατοριο;014274507;13;
148;αφοι γλεντζακη επε everest;999962477;13;
150;σερραικον μπουγατσα-πιτσα;042376865;13;
155;κοτονέον;047217161;13;
179;αναψυκτήριο-μπορμπουδάκη χριστ;041978958;13;
187;asian food α.ε (noodle bar);997791523;13;
193;la notte πιτσαρία-βολωνάκης χαράλαμπος;999676934;13;
199;Garfunkels (Gatwick);garfunkel;13;
216;σιγά σιγά;sigasiga;13;
229;μπορμπαντωνάκη καλλιόπη- η κουζίνα της πόπης;036281073;13;
232;κούλα-ταβέρνα-ηράκλειο;κουλαταβε;13;
282;τζαγκαράκης-εστιατόριο-γενί-γκαβέ;τζαγκαρακ;13;
283;yankees εστιατόριο;997528444;13;
284;50-50 εστιατόριο;50-50;13;
